position,player,country,points,profile_url
1,Arturo Coello,ESP,21623,https://www.padelfip.com/es/player/arturo-coello/
1,Agustin Tapia,ARG,21623,https://www.padelfip.com/es/player/agustin-tapia/
3,Alejandro Galan,ESP,17626,https://www.padelfip.com/es/player/alejandro-galan/
3,Federico Chingotto,ARG,17626,https://www.padelfip.com/es/player/federico-chingotto/
5,Juan Lebron,ESP,7800,https://www.padelfip.com/es/player/juan-lebron/
6,Leandro Augsburger,ARG,7026,https://www.padelfip.com/es/player/leandro-augsburger/
7,Franco Stupaczuk,ARG,7020,https://www.padelfip.com/es/player/franco-stupaczuk/
8,Miguel Yanguas,ESP,6921,https://www.padelfip.com/es/player/miguel-yanguas/
9,Jorge Nieto,ESP,5946,https://www.padelfip.com/es/player/jorge-nieto/
10,Francisco Navarro,ESP,5881,https://www.padelfip.com/es/player/francisco-navarro/
11,Jon Sanz,ESP,5106,https://www.padelfip.com/es/player/jon-sanz/
12,Martin Di Nenno,ARG,5016,https://www.padelfip.com/es/player/martin-di-nenno/
13,Francisco Guerrero,ESP,4543,https://www.padelfip.com/es/player/francisco-guerrero/
14,Jeronimo Gonzalez,ESP,4346,https://www.padelfip.com/es/player/jeronimo-gonzalez/
15,Lucas Bergamini,BRA,3951,https://www.padelfip.com/es/player/lucas-bergamini/
16,Eduardo Alonso,ESP,3231,https://www.padelfip.com/es/player/eduardo-alonso/
17,Javier Leal,ESP,3219,https://www.padelfip.com/es/player/javier-leal/
18,Juan Tello,ARG,3209,https://www.padelfip.com/es/player/juan-tello/
19,Lucas Campagnolo,BRA,3033,https://www.padelfip.com/es/player/lucas-campagnolo/
20,Javier Garrido,ESP,3011,https://www.padelfip.com/es/player/javier-garrido/
21,Alejandro Ruiz,ESP,2568,https://www.padelfip.com/es/player/alejandro-ruiz/
22,Javier Garcia,ESP,2554,https://www.padelfip.com/es/player/javier-garcia/
23,Jairo Bautista,ESP,2428,https://www.padelfip.com/es/player/jairo-bautista/
24,Juanlu Esbri,ESP,2380,https://www.padelfip.com/es/player/juanlu-esbri/
25,Javier Barahona,ESP,2324,https://www.padelfip.com/es/player/javier-barahona/
26,Alejandro Arroyo,ESP,2276,https://www.padelfip.com/es/player/alejandro-arroyo/
27,Alex Chozas,ARG,2228,https://www.padelfip.com/es/player/alex-chozas/
28,Maximiliano Arce Simo,ARG,2207,https://www.padelfip.com/es/player/maximiliano-arce-simo/
29,Leonel Daniel Aguirre,ARG,2194,https://www.padelfip.com/es/player/leonel-daniel-aguirre/
30,Carlos Daniel Gutierrez,ARG,2124,https://www.padelfip.com/es/player/carlos-daniel-gutierrez/
31,Gonzalo Gabriel Alfonso,ARG,2109,https://www.padelfip.com/es/player/gonzalo-gabriel-alfonso/
32,David Gala,ESP,2080,https://www.padelfip.com/es/player/david-gala/
33,Jose Jimenez Casas,ESP,2029,https://www.padelfip.com/es/player/jose-jimenez-casas/
34,Pol Hernandez Alvarez,ESP,1999,https://www.padelfip.com/es/player/pol-hernandez-alvarez/
35,Guillermo Collado,ESP,1970,https://www.padelfip.com/es/player/guillermo-collado/
36,Inigo Jofre,UAE,1874,https://www.padelfip.com/es/player/inigo-jofre/
37,Maximiliano Sanchez Blasco,ARG,1770,https://www.padelfip.com/es/player/maximiliano-sanchez-blasco/
38,Aimar Goñi Lacabe,ESP,1729,https://www.padelfip.com/es/player/aimar-goni-lacabe/
39,Pablo Garcia,ESP,1713,https://www.padelfip.com/es/player/pablo-garcia/
40,Jose Antonio Diestro,ESP,1609,https://www.padelfip.com/es/player/jose-antonio-diestro/
41,Victor Ruiz,ESP,1600,https://www.padelfip.com/es/player/victor-ruiz/
42,Gonzalo Rubio,ESP,1579,https://www.padelfip.com/es/player/gonzalo-rubio/
43,Valentino Gabriel Libaak,ARG,1572,https://www.padelfip.com/es/player/valentino-gabriel-libaak/
44,Javier Ruiz,ESP,1564,https://www.padelfip.com/es/player/javier-ruiz/
45,Pablo Lijo,ESP,1443,https://www.padelfip.com/es/player/pablo-lijo/
46,Alvaro Cepero,ESP,1303,https://www.padelfip.com/es/player/alvaro-cepero/
47,Luis Hernandez Quesada,ESP,1278,https://www.padelfip.com/es/player/luis-hernandez-quesada/
48,Javier Martinez,ESP,1239,https://www.padelfip.com/es/player/javier-martinez/
49,Alonso Rodriguez Martinez,ESP,1229,https://www.padelfip.com/es/player/alonso-rodriguez-martinez/
50,Ignacio Piotto Albornoz,ARG,1228,https://www.padelfip.com/es/player/ignacio-piotto-albornoz/
51,Enzo Jensen Sirvent,ITA,1175,https://www.padelfip.com/es/player/enzo-jensen-sirvent/
52,Eduardo Agustin Torre,ARG,1168,https://www.padelfip.com/es/player/eduardo-agustin-torre/
53,Daniel Santigosa Sastre,ESP,1163,https://www.padelfip.com/es/player/daniel-santigosa-sastre/
54,Pablo Cardona,ESP,1150,https://www.padelfip.com/es/player/pablo-cardona/
55,Mario Del Castillo,ESP,1125,https://www.padelfip.com/es/player/mario-del-castillo/
56,Marc Sintes Villalonga,ESP,1118,https://www.padelfip.com/es/player/marc-sintes-villalonga/
57,Francisco Manuel Gil,ESP,1114,https://www.padelfip.com/es/player/francisco-manuel-gil/
58,Juan Ignacio De Pascual,ARG,1113,https://www.padelfip.com/es/player/juan-ignacio-de-pascual/
59,Enrique Goenaga,ESP,1099,https://www.padelfip.com/es/player/enrique-goenaga/
60,Denis Tomas Perino,ITA,1054,https://www.padelfip.com/es/player/denis-tomas-perino/
61,Juan Ignacio Rubini,ARG,1053,https://www.padelfip.com/es/player/juan-ignacio-rubini/
62,Antonio Fernandez,ESP,1043,https://www.padelfip.com/es/player/antonio-fernandez/
63,Manuel Castaño Salguero,ESP,1039,https://www.padelfip.com/es/player/manuel-castano-salguero/
64,Andres Fernandez Lancha,ESP,1038,https://www.padelfip.com/es/player/andres-fernandez-lancha/
65,Maximiliano Sanchez,ARG,1036,https://www.padelfip.com/es/player/maximiliano-sanchez/
66,Francisco Cabeza Teres,ESP,1024,https://www.padelfip.com/es/player/francisco-cabeza-teres/
67,Mario Ortega,ESP,1023,https://www.padelfip.com/es/player/mario-ortega/
68,Nuno Deus,POR,1021,https://www.padelfip.com/es/player/nuno-deus/
69,Flavio Abbate,ITA,1011,https://www.padelfip.com/es/player/flavio-abbate/
70,Marc Quilez,ESP,995,https://www.padelfip.com/es/player/marc-quilez/
71,Federico Mouriño,ARG,950,https://www.padelfip.com/es/player/federico-mourino/
71,Ignacio Sager,ESP,950,https://www.padelfip.com/es/player/ignacio-sager/
73,Ignacio Vilariño Gestoso,UAE,932,https://www.padelfip.com/es/player/ignacio-vilarino-gestoso/
74,Facundo Dominguez,ITA,931,https://www.padelfip.com/es/player/facundo-dominguez/
75,Alvaro Montiel Caruso,ITA,927,https://www.padelfip.com/es/player/alvaro-montiel-caruso/
76,Miguel Deus,POR,921,https://www.padelfip.com/es/player/miguel-deus/
77,Jose Luis Gonzalez,ESP,917,https://www.padelfip.com/es/player/jose-luis-gonzalez/
78,Mariano Agustin Gonzalez San Martin,PAR,904,https://www.padelfip.com/es/player/mariano-agustin-gonzalez-san-martin/
79,Ramiro Jesus Valenzuela,ARG,897,https://www.padelfip.com/es/player/ramiro-jesus-valenzuela/
80,Emilio Sanchez Chamero,ESP,890,https://www.padelfip.com/es/player/emilio-sanchez-chamero/
81,Javier Valdes,CHI,879,https://www.padelfip.com/es/player/javier-valdes/
82,Aris Patiniotis,ITA,873,https://www.padelfip.com/es/player/aris-patiniotis/
83,Luciano Capra,ARG,869,https://www.padelfip.com/es/player/luciano-capra/
84,Juan Cruz Belluati,ARG,852,https://www.padelfip.com/es/player/juan-cruz-belluati/
85,Álvaro Melendez Amaya,ESP,845,https://www.padelfip.com/es/player/alvaro-melendez-amaya/
86,Teodoro Zapata,ESP,839,https://www.padelfip.com/es/player/teodoro-zapata/
87,Diego Garcia Garcia,ESP,792,https://www.padelfip.com/es/player/diego-garcia-garcia/
