position,player,country,points,birthdate,age,place_of_birth,height_m,playing_side,profile_url
1,Arturo Coello,ESP,21623,08/03/2002,24,Valladolid,1.9,Right,https://www.padelfip.com/es/player/arturo-coello/
1,Agustin Tapia,ARG,21623,24/07/1999,26,Catamarca,1.79,Left,https://www.padelfip.com/es/player/agustin-tapia/
3,Alejandro Galan,ESP,17626,15/05/1996,30,Madrid,1.86,Left,https://www.padelfip.com/es/player/alejandro-galan/
3,Federico Chingotto,ARG,17626,13/04/1997,29,Buenos aires,1.7,Right,https://www.padelfip.com/es/player/federico-chingotto/
5,Juan Lebron,ESP,7800,31/01/1995,31,Puerto de Santa María,1.84,Right,https://www.padelfip.com/es/player/juan-lebron/
6,Leandro Augsburger,ARG,7026,11/08/2004,21,Posadas Misiones,1.9,Left,https://www.padelfip.com/es/player/leandro-augsburger/
7,Franco Stupaczuk,ARG,7020,25/03/1996,30,Chaco,1.8,Left,https://www.padelfip.com/es/player/franco-stupaczuk/
8,Miguel Yanguas,ESP,6921,18/03/2002,24,Málaga,1.89,Right,https://www.padelfip.com/es/player/miguel-yanguas/
9,Jorge Nieto,ESP,5946,18/12/1998,27,Madrid,1.75,Left,https://www.padelfip.com/es/player/jorge-nieto/
10,Francisco Navarro,ESP,5881,10/02/1989,37,Sevilla,1.81,Left,https://www.padelfip.com/es/player/francisco-navarro/
11,Jon Sanz,ESP,5106,25/09/2000,25,Pamplona,1.75,Right,https://www.padelfip.com/es/player/jon-sanz/
12,Martin Di Nenno,ARG,5016,18/03/1997,29,Ezeiza,1.75,Right,https://www.padelfip.com/es/player/martin-di-nenno/
13,Francisco Guerrero,ESP,4543,30/07/2003,22,Málaga,1.76,Right,https://www.padelfip.com/es/player/francisco-guerrero/
14,Jeronimo Gonzalez,ESP,4346,21/02/1997,29,Antequera,1.8,Left,https://www.padelfip.com/es/player/jeronimo-gonzalez/
15,Lucas Bergamini,BRA,3951,18/08/1997,28,Bento Gonçalves,1.65,Right,https://www.padelfip.com/es/player/lucas-bergamini/
16,Eduardo Alonso,ESP,3231,08/01/2001,25,Valencia,1.8,Right,https://www.padelfip.com/es/player/eduardo-alonso/
17,Javier Leal,ESP,3219,28/07/2003,22,Puerto de Santa María,1.75,Left,https://www.padelfip.com/es/player/javier-leal/
18,Juan Tello,ARG,3209,01/02/1995,31,Córdoba,1.85,Left,https://www.padelfip.com/es/player/juan-tello/
19,Lucas Campagnolo,BRA,3033,13/06/1995,31,Alegrete,1.79,Right,https://www.padelfip.com/es/player/lucas-campagnolo/
20,Javier Garrido,ESP,3011,26/10/2000,25,Córdoba,1.84,Left,https://www.padelfip.com/es/player/javier-garrido/
21,Alejandro Ruiz,ESP,2568,12/06/1994,32,Málaga,1.87,Right,https://www.padelfip.com/es/player/alejandro-ruiz/
22,Javier Garcia,ESP,2554,09/12/2000,25,Murcia,1.77,Left,https://www.padelfip.com/es/player/javier-garcia/
23,Jairo Bautista,ESP,2428,11/07/2001,24,Málaga,1.9,Left,https://www.padelfip.com/es/player/jairo-bautista/
24,Juanlu Esbri,ESP,2380,22/01/2001,25,Castellón de la Plana,1.82,Left,https://www.padelfip.com/es/player/juanlu-esbri/
25,Javier Barahona,ESP,2324,17/09/1998,27,Madrid,1.79,Right,https://www.padelfip.com/es/player/javier-barahona/
26,Alejandro Arroyo,ESP,2276,25/10/2001,24,Valencia,1.88,Left,https://www.padelfip.com/es/player/alejandro-arroyo/
27,Alex Chozas,ARG,2228,18/07/2003,22,Hurlingham,1.86,Left,https://www.padelfip.com/es/player/alex-chozas/
28,Maximiliano Arce Simo,ARG,2207,27/01/1998,28,Salta,1.75,Right,https://www.padelfip.com/es/player/maximiliano-arce-simo/
29,Leonel Daniel Aguirre,ARG,2194,23/12/1997,28,Buenos Aires,1.8,Right,https://www.padelfip.com/es/player/leonel-daniel-aguirre/
30,Carlos Daniel Gutierrez,ARG,2124,15/06/1984,42,San Luis,1.77,Right,https://www.padelfip.com/es/player/carlos-daniel-gutierrez/
31,Gonzalo Gabriel Alfonso,ARG,2109,30/03/1996,30,General Cabrera,1.7,Left,https://www.padelfip.com/es/player/gonzalo-gabriel-alfonso/
32,David Gala,ESP,2080,06/02/2006,20,Madrid,1.82,Left,https://www.padelfip.com/es/player/david-gala/
33,Jose Jimenez Casas,ESP,2029,21/02/2004,22,Granada,1.8,Right,https://www.padelfip.com/es/player/jose-jimenez-casas/
34,Pol Hernandez Alvarez,ESP,1999,14/07/2004,21,Granollers,1.72,Right,https://www.padelfip.com/es/player/pol-hernandez-alvarez/
35,Guillermo Collado,ESP,1970,05/05/2005,21,Madrid,1.8,Left,https://www.padelfip.com/es/player/guillermo-collado/
36,Inigo Jofre,UAE,1874,13/08/2000,25,Santa Cruz de Tenerife,1.85,Right,https://www.padelfip.com/es/player/inigo-jofre/
37,Maximiliano Sanchez Blasco,ARG,1770,06/09/2002,23,Deaireaux,1.86,Left,https://www.padelfip.com/es/player/maximiliano-sanchez-blasco/
38,Aimar Goñi Lacabe,ESP,1729,13/10/2005,20,Pamplona,1.9,Left,https://www.padelfip.com/es/player/aimar-goni-lacabe/
39,Pablo Garcia,ESP,1713,23/01/2003,23,Madrid,1.88,Right,https://www.padelfip.com/es/player/pablo-garcia/
40,Jose Antonio Diestro,ESP,1609,01/09/1989,36,Badajoz,1.83,Right,https://www.padelfip.com/es/player/jose-antonio-diestro/
41,Victor Ruiz,ESP,1600,09/07/1989,36,Cartagena,1.79,Left,https://www.padelfip.com/es/player/victor-ruiz/
42,Gonzalo Rubio,ESP,1579,22/02/1991,35,Sevilla,1.83,Right,https://www.padelfip.com/es/player/gonzalo-rubio/
43,Valentino Gabriel Libaak,ARG,1572,09/08/2005,20,Villa Mercedes,1.84,Right,https://www.padelfip.com/es/player/valentino-gabriel-libaak/
44,Javier Ruiz,ESP,1564,17/06/1987,39,Granada,1.83,Left,https://www.padelfip.com/es/player/javier-ruiz/
45,Pablo Lijo,ESP,1443,06/07/1991,34,Sta. Uxía de Ribeira,1.85,Left,https://www.padelfip.com/es/player/pablo-lijo/
46,Alvaro Cepero,ESP,1303,26/04/1991,35,San Fernando,1.67,Right,https://www.padelfip.com/es/player/alvaro-cepero/
47,Luis Hernandez Quesada,ESP,1278,03/08/1999,26,Cuenca,1.76,Left,https://www.padelfip.com/es/player/luis-hernandez-quesada/
48,Javier Martinez,ESP,1239,18/11/1996,29,Valladolid,1.73,Right,https://www.padelfip.com/es/player/javier-martinez/
49,Alonso Rodriguez Martinez,ESP,1229,03/04/2003,23,Torres de la Alameda,1.85,Left,https://www.padelfip.com/es/player/alonso-rodriguez-martinez/
50,Ignacio Piotto Albornoz,ARG,1228,06/03/2002,24,Concaran San Luis,1.76,Left,https://www.padelfip.com/es/player/ignacio-piotto-albornoz/
51,Enzo Jensen Sirvent,ITA,1175,17/05/2006,20,Madrid,1.74,Right,https://www.padelfip.com/es/player/enzo-jensen-sirvent/
52,Eduardo Agustin Torre,ARG,1168,18/10/1994,31,Olavarría,1.82,Left,https://www.padelfip.com/es/player/eduardo-agustin-torre/
53,Daniel Santigosa Sastre,ESP,1163,16/02/2004,22,Madrid,1.8,Right,https://www.padelfip.com/es/player/daniel-santigosa-sastre/
54,Pablo Cardona,ESP,1150,03/11/2004,21,Mérida,1.88,Right,https://www.padelfip.com/es/player/pablo-cardona/
55,Mario Del Castillo,ESP,1125,20/12/1997,28,Sevilla,1.74,Right,https://www.padelfip.com/es/player/mario-del-castillo/
56,Marc Sintes Villalonga,ESP,1118,17/04/2006,20,Mahón,1.8,Right,https://www.padelfip.com/es/player/marc-sintes-villalonga/
57,Francisco Manuel Gil,ESP,1114,27/04/1996,30,Córdoba,1.85,Right,https://www.padelfip.com/es/player/francisco-manuel-gil/
58,Juan Ignacio De Pascual,ARG,1113,09/12/2004,21,Pergamino,1.86,Right,https://www.padelfip.com/es/player/juan-ignacio-de-pascual/
